description,label,predicted_medical_specialty
"Arthroscopy of the left knee with medial meniscoplasty. Internal derangement, left knee. Displaced bucket-handle tear of medial meniscus, left knee.",Orthopedic,Orthopedic
"Left knee pain and stiffness. Bilateral knee degenerative joint disease (DJD). Significant back pain, status post lumbar stenosis surgery with pain being controlled on methadone 10 mg b.i.d.",Orthopedic,Orthopedic
"Right knee injury suggestive of a recurrent anterior cruciate ligament tear, possible internal derangement. While playing tennis she had a non-contact injury in which she injured the right knee. She had immediate pain and swelling.",Orthopedic,Orthopedic
A 66-year-old female with knee osteoarthrosis who failed conservative management.,Orthopedic,Orthopedic
Left medial compartment osteoarthritis of the knee. Left unicompartmental knee replacement.,Orthopedic,Orthopedic
Decreased ability to perform daily living activities secondary to right knee surgery.,Orthopedic,Physical Medicine - Rehab
KYPHON Balloon Kyphoplasty at T12 and L1evels Insertion of KYPHON HV-R bone cement under low pressure at T12 and L1 levels and bone biopsy.,Orthopedic,Orthopedic
The patient with an L5 compression fracture.is to come to the hospital for bilateral L5 kyphoplasty. The patient has a history of back and buttock pain for some time.,Orthopedic,Orthopedic
Fracture reduction with insertion of prosthetic device at T8 with kyphoplasty. Vertebroplasties at T7 and T9 with insertion of prosthetic device. Fracture of the T8 vertebra and T9 vertebra.,Orthopedic,Orthopedic
A 13-year-old new patientfor evaluation of thoracic kyphosis. Family history of kyphosis in a maternal aunt and grandfather. She was noted by her parents to have round back posture.,Orthopedic,Orthopedic
"Revision laminectomy L5-S1, discectomy L5-S1, right medial facetectomy, preparation of disk space and arthrodesis with interbody graft with BMP. Status post previous lumbar surgery for herniated disk with severe recurrence of axial back pain, failed conservative therapy.",Orthopedic,Orthopedic
"Complete laminectomy, L4. and facetectomy, L3-L4 level. A dural repair, right sided, on the lateral sheath, subarticular recess at the L4 pedicle level. Posterior spinal instrumentation, L4 to S1, using Synthes Pangea System. Posterior spinal fusion, L4 to S1. Insertion of morselized autograft, L4 to S1.",Orthopedic,Orthopedic
Decompressive left lumbar laminectomy C4-C5 and C5-C6 with neural foraminotomy. Posterior cervical fusion C4-C5. Songer wire. Right iliac bone graft.,Orthopedic,Surgery
"Followup status post L4-L5 laminectomy and bilateral foraminotomies, and L4-L5 posterior spinal fusion with instrumentation.",Orthopedic,Orthopedic
"Microscopic-assisted revision of bilateral decompressive lumbar laminectomies and foraminotomies at the levels of L3-L4, L4-L5, and L5-S1. Posterior spinal fusion at the level of L4-L5 and L5-S1 utilizing local bone graft, allograft and segmental instrumentation. Posterior lumbar interbody arthrodesis utilizing cage instrumentation at L4-L5 with local bone graft and allograft. All procedures were performed under SSEP, EMG, and neurophysiologic monitoring.",Orthopedic,Orthopedic
"Right L4 and L5 transpedicular decompression of distal right L4 and L5 nerve roots. Right L4-L5 and right L5-S1 laminotomies, medial facetectomies, and foraminotomies, decompression of right L5 and S1 nerve roots. Right L4-S1 posterolateral fusion with local bone graft. Left L4 through S1 segmental pedicle screw instrumentation. Preparation harvesting of local bone graft.",Orthopedic,Orthopedic
Lateral release with lengthening of the ECRB tendon. Lateral epicondylitis.,Orthopedic,Orthopedic
History of right leg pain. Leg pain is no longer present.,Orthopedic,Orthopedic
"Diagnostic operative arthroscopy with repair and reconstruction of anterior cruciate ligament using autologous hamstring tendon, a 40 mm bioabsorbable femoral pin, and a 9 mm bioabsorbable tibial pin. Repair of lateral meniscus using two fast fixed meniscal repair sutures. Partial medial meniscectomy. Partial chondroplasty of patella. Lateral retinacular release. Open medial plication as well of the right knee.",Orthopedic,Orthopedic
Ligament reconstruction and tendon interposition arthroplasty of right wrist.,Orthopedic,Orthopedic
Closed reduction and placement of long-arm cast.,Orthopedic,Orthopedic
"New patient consultation - Low back pain, degenerative disc disease, spinal stenosis, diabetes, and history of prostate cancer status post radiation.",Orthopedic,Orthopedic
Patient having low back pain after doing exercise,Orthopedic,Physical Medicine - Rehab
"Lumbar muscle strain and chronic back pain. Patient has a history of chronic back pain, dating back to an accident that he states he suffered two years ago.",Orthopedic,Physical Medicine - Rehab
Evaluation for right L4 selective nerve root block.,Orthopedic,Pain Management
"Microscopic lumbar discectomy, left L5-S1. Extruded herniated disc, left L5-S1. Left S1 radiculopathy (acute). Morbid obesity.",Orthopedic,Bariatrics
"Lumbar discogram L2-3, L3-4, L4-5, and L5-S1. Low back pain.",Orthopedic,Orthopedic
"Lumbar laminectomy for decompression with foraminotomies L3-L4, L4-L5, L5-S1 microtechniques and repair of CSF fistula, microtechniques L5-S1, application of DuraSeal. Lumbar stenosis and cerebrospinal fluid fistula.",Orthopedic,Neurosurgery
"Injection for myelogram and microscopic-assisted lumbar laminectomy with discectomy at L5-S1 on the left. Herniated nucleus pulposus, L5-S1 on the left with severe weakness and intractable pain.",Orthopedic,Neurosurgery
Microscopic assisted lumbar laminotomy with discectomy at L5-S1 on the left. Herniated nucleus pulposus of L5-S1 on the left.,Orthopedic,Orthopedic
"Lumbar puncture. A 20-gauge spinal needle was then inserted into the L3-L4 space. Attempt was successful on the first try and several mLs of clear, colorless CSF were obtained.",Orthopedic,Neurology
"Low back pain, lumbar radiculopathy, degenerative disc disease, lumbar spinal stenosis, history of anemia, high cholesterol, and hypothyroidism.",Orthopedic,Physical Medicine - Rehab
Recurrent degenerative spondylolisthesis and stenosis at L4-5 and L5-S1 with L3 compression fracture adjacent to an instrumented fusion from T11 through L2 with hardware malfunction distal at the L2 end of the hardware fixation.,Orthopedic,Orthopedic
Low back pain and right lower extremity pain - Lumbar spine herniated nucleus pulposus.,Orthopedic,Orthopedic
Right hallux abductovalgus deformity. Right McBride bunionectomy. Right basilar wedge osteotomy with OrthoPro screw fixation.,Orthopedic,Orthopedic
"Medial branch rhizotomy, lumbosacral. Fluoroscopy was used to identify the boney landmarks of the spine and the planned needle approach. The skin, subcutaneous tissue, and muscle within the planned approach were anesthetized with 1% Lidocaine.",Orthopedic,Pain Management
"Arthroscopy, medial meniscoplasty, lateral meniscoplasty, medial femoral chondroplasty, and medical femoral microfracture, right knee. Patellar chondroplasty. Lateral femoral chondroplasty. Meniscal tear, osteochondral lesion, degenerative joint disease, and chondromalacia,",Orthopedic,Orthopedic
Patient with right ankle pain.,Orthopedic,Orthopedic
MRI right ankle.,Orthopedic,Orthopedic
MRI Brain & T-spine - Demyelinating disease.,Orthopedic,Neurology
MRI Brain & MRI C-T spine: Multiple hemangioblastoma in Von Hippel Lindau Disease.,Orthopedic,Neurology
Left third digit numbness and wrist pain.,Orthopedic,Orthopedic
MRI cervical spine.,Orthopedic,Radiology
MRI Cervical Spine without contrast.,Orthopedic,Radiology
MRI report Cervical Spine (Chiropractic Specific),Orthopedic,Chiropractic
MRI C-spine: C4-5 Transverse Myelitis.,Orthopedic,Radiology
MRI C-spine to evaluate right shoulder pain - C5-6 disk herniation.,Orthopedic,Orthopedic
MRI Elbow - A middle-aged female complaining of elbow pain.,Orthopedic,Orthopedic
"MRI of elbow - A middle-aged female with moderate pain, severe swelling and a growth on the arm.",Orthopedic,Orthopedic
"Pain and swelling in the right foot, peroneal tendon tear.",Orthopedic,Orthopedic
Pain and swelling in the right foot.,Orthopedic,Podiatry
"A 49-year-old female with ankle pain times one month, without a specific injury.",Orthopedic,Orthopedic
MRI left knee without contrast.,Orthopedic,Orthopedic
A 53-year-old female with left knee pain being evaluated for ACL tear.,Orthopedic,Orthopedic
MRI left knee.,Orthopedic,Orthopedic
MRI left knee without contrast.,Orthopedic,Orthopedic
MRI right knee without gadolinium,Orthopedic,Orthopedic
MRI L-S-Spine for Cauda Equina Syndrome secondary to L3-4 disc herniation - Low Back Pain (LBP) with associated BLE weakness.,Orthopedic,Orthopedic
"MRI L-spine - History of progressive lower extremity weakness, right frontal glioblastoma with lumbar subarachnoid seeding.",Orthopedic,Neurosurgery
MRI of lumbar spine without contrast to evaluate chronic back pain.,Orthopedic,Radiology
Left shoulder pain. Evaluate for rotator cuff tear.,Orthopedic,Orthopedic
A 51-year-old female with left shoulder pain and restricted external rotation and abduction x 6 months.,Orthopedic,Orthopedic
A 32-year-old male with shoulder pain.,Orthopedic,Orthopedic
A 69-year-old male with pain in the shoulder. Evaluate for rotator cuff tear.,Orthopedic,Orthopedic
MRI left shoulder.,Orthopedic,Orthopedic
"MRI of the Cervical, Thoracic, and Lumbar Spine",Orthopedic,Radiology
MRI Spine - T12-L5 epidural lipoma and thoracic spinal cord infarction vs. transverse myelitis.,Orthopedic,Radiology
MRI T-L spine - L2 conus medullaris lesion and syndrome secondary to Schistosomiasis.,Orthopedic,Neurology
MRI T-spine and CXR - Aortic Dissection.,Orthopedic,Radiology
"The thoracic spine was examined in the AP, lateral and swimmer's projections.",Orthopedic,Orthopedic
MRI T-spine: Metastatic Adenocarcinoma of the T3-T4 vertebrae and invading the spinal canal.,Orthopedic,Radiology
"Patient with wrist pain and swelling, status post injury.",Orthopedic,Orthopedic
"Arthroscopy with arthroscopic rotator cuff debridement, anterior acromioplasty, and Mumford procedure left shoulder. Partial rotator cuff tear with impingement syndrome. Degenerative osteoarthritis of acromioclavicular joint, left shoulder, rule out slap lesion.",Orthopedic,Orthopedic
Initial evaulation - neck and back pain.,Orthopedic,Physical Medicine - Rehab
Patient status post vehicular trauma. Low Back syndrome and Cervicalgia.,Orthopedic,Physical Medicine - Rehab
"Neck pain with right upper extremity radiculopathy and cervical spondylosis with herniated nucleus pulposus C4-C5, C5-C6, and C6-C7 with stenosis.",Orthopedic,Orthopedic
"Repair of nerve and tendon, right ring finger and exploration of digital laceration. Laceration to right ring finger with partial laceration to the ulnar slip of the FDS which is the flexor digitorum superficialis and 25% laceration to the flexor digitorum profundus of the right ring finger and laceration 100% of the ulnar digital nerve to the right ring finger.",Orthopedic,Orthopedic
